26.01.27 20:17:45 errorHandler [] [8192] [preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated] [D:\coding\BEAD Lab\Work\USC-BEAD-Lab-ECITT\private\libs\php\eventLib.php] [244]
26.01.27 20:17:45 illegal pairingCode: 
26.01.27 20:19:11 aborted connection, pairingCode: admin
26.01.27 20:19:11 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:21:22 aborted connection, pairingCode: admin
26.01.27 20:21:22 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:24:13 aborted connection, pairingCode: admin
26.01.27 20:24:13 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:26:46 aborted connection, pairingCode: admin
26.01.27 20:26:46 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:28:40 aborted connection, pairingCode: admin
26.01.27 20:28:40 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:31:31 aborted connection, pairingCode: admin
26.01.27 20:31:31 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:37:09 aborted connection, pairingCode: admin
26.01.27 20:37:09 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:40:39 aborted connection, pairingCode: admin
26.01.27 20:40:39 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:40:52 aborted connection, pairingCode: admin
26.01.27 20:40:52 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:45:32 aborted connection, pairingCode: admin
26.01.27 20:45:32 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:47:31 aborted connection, pairingCode: admin
26.01.27 20:47:31 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:48:54 aborted connection, pairingCode: admin
26.01.27 20:48:54 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:50:40 aborted connection, pairingCode: admin
26.01.27 20:50:40 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:52:46 aborted connection, pairingCode: admin
26.01.27 20:52:46 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:54:55 aborted connection, pairingCode: admin
26.01.27 20:54:55 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:57:02 aborted connection, pairingCode: admin
26.01.27 20:57:02 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:58:49 aborted connection, pairingCode: admin
26.01.27 20:58:49 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 20:59:19 aborted connection, pairingCode: admin
26.01.27 20:59:19 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:00:38 aborted connection, pairingCode: admin
26.01.27 21:00:38 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:01:45 aborted connection, pairingCode: admin
26.01.27 21:01:45 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:03:17 aborted connection, pairingCode: admin
26.01.27 21:03:17 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:09:18 aborted connection, pairingCode: admin
26.01.27 21:09:18 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:11:35 aborted connection, pairingCode: admin
26.01.27 21:11:35 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:16:01 aborted connection, pairingCode: admin
26.01.27 21:16:01 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:17:52 aborted connection, pairingCode: admin
26.01.27 21:17:52 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:18:19 aborted connection, pairingCode: admin
26.01.27 21:18:19 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:19:30 aborted connection, pairingCode: admin
26.01.27 21:19:30 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:23:55 aborted connection, pairingCode: admin
26.01.27 21:23:55 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:26:08 aborted connection, pairingCode: admin
26.01.27 21:26:08 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:26:40 aborted connection, pairingCode: admin
26.01.27 21:26:40 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:28:05 aborted connection, pairingCode: admin
26.01.27 21:28:05 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:29:35 aborted connection, pairingCode: admin
26.01.27 21:29:35 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:31:50 aborted connection, pairingCode: admin
26.01.27 21:31:50 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:33:59 aborted connection, pairingCode: admin
26.01.27 21:33:59 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:38:29 aborted connection, pairingCode: admin
26.01.27 21:38:29 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:41:21 aborted connection, pairingCode: admin
26.01.27 21:41:21 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:42:33 aborted connection, pairingCode: admin
26.01.27 21:42:33 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:45:57 aborted connection, pairingCode: admin
26.01.27 21:45:57 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:47:57 aborted connection, pairingCode: admin
26.01.27 21:47:57 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:51:27 aborted connection, pairingCode: admin
26.01.27 21:51:27 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.01.27 21:52:13 aborted connection, pairingCode: admin
26.01.27 21:52:13 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 17:47:40 aborted connection, pairingCode: admin
26.02.03 17:47:40 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 17:49:28 aborted connection, pairingCode: admin
26.02.03 17:49:28 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 17:49:33 aborted connection, pairingCode: admin
26.02.03 17:49:33 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 17:50:38 aborted connection, pairingCode: admin
26.02.03 17:50:38 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 17:55:50 aborted connection, pairingCode: admin
26.02.03 17:55:50 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 17:59:07 aborted connection, pairingCode: admin
26.02.03 17:59:07 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:01:11 aborted connection, pairingCode: admin
26.02.03 18:01:11 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:01:53 aborted connection, pairingCode: admin
26.02.03 18:01:53 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:05:25 aborted connection, pairingCode: admin
26.02.03 18:05:25 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:05:42 aborted connection, pairingCode: admin
26.02.03 18:05:42 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:05:43 aborted connection, pairingCode: admin
26.02.03 18:05:43 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:18:15 aborted connection, pairingCode: admin
26.02.03 18:18:15 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:18:20 aborted connection, pairingCode: admin
26.02.03 18:18:20 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:21:58 aborted connection, pairingCode: admin
26.02.03 18:21:58 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:21:58 aborted connection, pairingCode: admin
26.02.03 18:21:58 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:25:28 aborted connection, pairingCode: admin
26.02.03 18:25:28 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:30:13 aborted connection, pairingCode: admin
26.02.03 18:30:13 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:36:31 aborted connection, pairingCode: admin
26.02.03 18:36:31 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:41:59 aborted connection, pairingCode: admin
26.02.03 18:41:59 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:42:18 aborted connection, pairingCode: admin
26.02.03 18:42:18 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:57:35 aborted connection, pairingCode: admin
26.02.03 18:57:35 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 18:58:57 aborted connection, pairingCode: admin
26.02.03 18:58:57 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:02:36 aborted connection, pairingCode: admin
26.02.03 19:02:36 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:16:43 aborted connection, pairingCode: admin
26.02.03 19:16:43 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:16:53 aborted connection, pairingCode: admin
26.02.03 19:16:53 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:21:18 aborted connection, pairingCode: admin
26.02.03 19:21:18 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:21:40 aborted connection, pairingCode: admin
26.02.03 19:21:40 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:22:09 aborted connection, pairingCode: admin
26.02.03 19:22:09 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:23:43 aborted connection, pairingCode: admin
26.02.03 19:23:43 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:23:53 aborted connection, pairingCode: admin
26.02.03 19:23:53 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:23:59 aborted connection, pairingCode: admin
26.02.03 19:23:59 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:33:50 aborted connection, pairingCode: admin
26.02.03 19:33:50 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:34:12 aborted connection, pairingCode: admin
26.02.03 19:34:12 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:34:18 aborted connection, pairingCode: admin
26.02.03 19:34:18 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:37:12 aborted connection, pairingCode: admin
26.02.03 19:37:12 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:37:17 aborted connection, pairingCode: admin
26.02.03 19:37:17 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:41:29 aborted connection, pairingCode: admin
26.02.03 19:41:29 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:42:30 aborted connection, pairingCode: admin
26.02.03 19:42:30 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
26.02.03 19:44:11 aborted connection, pairingCode: admin
26.02.03 19:44:11 sendStatusDoc [ok] [connection aborted, pairingCode: admin]
